date,region,day_of_week,reduced_bid_policy,ad_spend,impressions,clicks,platform_attributed_leads,total_qualified_leads,organic_plus_direct_leads,estimated_cost_per_qualified_lead
2026-01-05,Recruiting_Region_01,Monday,0,1281.5640036707807,89550.06248124488,1989.8713222057406,52,14,0,91.54028597648434
2026-01-06,Recruiting_Region_01,Tuesday,1,702.7839053931393,52999.76262528444,1233.891322018075,27,24,0,29.28266272471414
2026-01-07,Recruiting_Region_01,Wednesday,1,626.3704960651038,47205.297021803824,1239.8082398220417,26,21,0,29.827166479290657
2026-01-08,Recruiting_Region_01,Thursday,0,1371.1583565699761,87287.11660249524,2101.2409486068127,44,33,0,41.55025322939321
2026-01-09,Recruiting_Region_01,Friday,1,551.7777755862423,41927.245309962505,1159.7920784536318,28,36,8,15.327160432951176
2026-01-10,Recruiting_Region_01,Saturday,0,1236.7937443729763,83701.28856605857,1891.238017301975,52,23,0,53.773641059694626
2026-01-11,Recruiting_Region_01,Sunday,1,711.8383426880021,45934.26842157935,1101.4466449713254,23,27,4,26.364383062518595
2026-01-12,Recruiting_Region_01,Monday,1,841.4224551419226,47885.63722681008,1156.379492000982,20,35,15,24.0406415754835
2026-01-13,Recruiting_Region_01,Tuesday,0,1359.390174593118,92879.36103603813,1860.20168737838,42,38,0,35.77342564718732
2026-01-14,Recruiting_Region_01,Wednesday,1,549.5268624886832,43616.40823127024,1330.1909662103499,16,36,20,15.264635069130087
2026-01-15,Recruiting_Region_01,Thursday,0,1231.4813025708877,73104.94059030834,2049.543374545049,42,35,0,35.185180073453935
2026-01-16,Recruiting_Region_01,Friday,1,790.5215823912617,50065.86029886111,1268.811637226795,24,38,14,20.80319953661215
2026-01-17,Recruiting_Region_01,Saturday,0,1352.1526668343001,94554.8096590199,2031.6765722318257,39,30,0,45.07175556114334
2026-01-18,Recruiting_Region_01,Sunday,1,611.221725940119,53813.78379846161,1172.0536328905112,32,27,0,22.637841701485886
2026-01-19,Recruiting_Region_01,Monday,0,1263.2825929081225,87284.59224248199,1955.5930319960491,53,33,0,38.28129069418553
2026-01-20,Recruiting_Region_01,Tuesday,0,1346.328761603481,82571.095364745,2158.558416748136,37,27,0,49.864028207536336
2026-01-21,Recruiting_Region_01,Wednesday,0,1489.2356674483278,83843.83946127623,1964.9265326926723,45,25,0,59.56942669793311
2026-01-22,Recruiting_Region_01,Thursday,1,750.3695059618949,47031.76500218397,1288.7683233682153,17,24,7,31.26539608174562
2026-01-23,Recruiting_Region_01,Friday,0,1386.661609335216,73555.24857865991,2008.4074921894353,48,24,0,57.777567055634
2026-01-24,Recruiting_Region_01,Saturday,1,776.2642019902569,41906.93323034411,1293.4162600790987,22,23,1,33.75061747783725
2026-01-25,Recruiting_Region_01,Sunday,1,816.3062806734963,48352.31194203726,1198.9616265246332,23,17,0,48.01801651020566
2026-01-26,Recruiting_Region_01,Monday,1,928.413494032158,59524.738539960905,1178.5125304691778,26,33,7,28.13374224339873
2026-01-27,Recruiting_Region_01,Tuesday,0,1440.043517958297,80821.2340267407,1929.701847231537,37,32,0,45.00135993619678
2026-01-28,Recruiting_Region_01,Wednesday,0,1535.5364102301712,81919.27828381714,1900.748983278564,45,30,0,51.18454700767237
2026-01-29,Recruiting_Region_01,Thursday,1,566.9483152454027,43169.7724964112,1528.2329247235953,20,33,13,17.180251977133416
2026-01-30,Recruiting_Region_01,Friday,1,853.479736684967,43774.37924655641,1257.5480460693502,31,30,0,28.449324556165564
2026-01-31,Recruiting_Region_01,Saturday,0,1194.8723221787664,83521.23954246988,1980.1105107391863,36,33,0,36.208252187235345
2026-02-01,Recruiting_Region_01,Sunday,0,1340.253210102419,86765.85538052616,2021.6510796254734,53,19,0,70.53964263696942
2026-02-02,Recruiting_Region_01,Monday,0,1592.8253909840691,96343.62083344882,2219.277021762132,47,41,0,38.84939978009925
2026-02-03,Recruiting_Region_01,Tuesday,1,583.5743706280109,55753.37941990048,1323.5915653109525,33,51,18,11.442634718196292
2026-02-04,Recruiting_Region_01,Wednesday,0,1297.731161322577,84262.00965996775,1981.9838252734555,44,49,5,26.48430941474647
2026-02-05,Recruiting_Region_01,Thursday,0,1342.2561040042972,86459.1620776096,1966.391988868583,43,47,4,28.558640510729727
2026-02-06,Recruiting_Region_01,Friday,0,1407.5510852752425,83024.30640715463,2006.7687194826003,48,56,8,25.134840808486473
2026-02-07,Recruiting_Region_01,Saturday,1,730.9666949647453,58793.73307183457,1346.5032766778033,29,51,22,14.332680293426378
2026-02-08,Recruiting_Region_01,Sunday,0,1419.4978977604258,78350.52520719878,2116.4464289546463,55,54,0,26.286998106674552
2026-02-09,Recruiting_Region_01,Monday,1,862.2148454428818,53221.353979174266,1085.0689328069031,24,70,46,12.317354934898312
2026-02-10,Recruiting_Region_01,Tuesday,1,592.9503106545977,49382.394688731154,1131.2813466222779,13,55,42,10.780914739174504
