"Hair","Eye","StdResid","Sex"
"Black","Brown",3.86066193764942,"Male"
"Brown","Brown",0.695171241257371,"Male"
"Red","Brown",-0.744777524376182,"Male"
"Blond","Brown",-4.44710398489804,"Male"
"Black","Blue",-2.88390797017237,"Male"
"Brown","Blue",-0.440393459017411,"Male"
"Red","Blue",-0.879011951989186,"Male"
"Blond","Blue",4.48109560274959,"Male"
"Black","Hazel",0.226162096908392,"Male"
"Brown","Hazel",0.291343560838787,"Male"
"Red","Hazel",0.622178547309603,"Male"
"Blond","Hazel",-1.1850799972808,"Male"
"Black","Green",-1.67719009418353,"Male"
"Brown","Green",-0.709874150960205,"Male"
"Red","Green",1.68793648734639,"Male"
"Blond","Green",1.27855352395585,"Male"
"Black","Brown",4.89859673374027,"Female"
"Brown","Brown",2.38758381924031,"Female"
"Red","Brown",0.566561573625935,"Female"
"Blond","Brown",-7.29625264308433,"Female"
"Black","Blue",-3.13668776937462,"Female"
"Brown","Blue",-4.2639996136355,"Female"
"Red","Blue",-2.35608823430585,"Female"
"Blond","Blue",9.25230681945103,"Female"
"Black","Hazel",-1.13323820186164,"Female"
"Brown","Hazel",2.55865304315373,"Female"
"Red","Hazel",0.772486819972227,"Female"
"Blond","Hazel",-2.5165518754861,"Female"
"Black","Green",-1.60148087683,"Female"
"Brown","Green",-0.061893417651406,"Female"
"Red","Green",1.95484290912552,"Female"
"Blond","Green",-0.00966225079297078,"Female"
