uplift_decile,customers,avg_pred_cate,avg_true_cate,avg_outcome
1,300,43.79124743402024,42.35237368083923,130.10636954874775
2,300,37.09496495733495,35.36909559779895,124.18763554493562
3,300,33.350066947773506,32.12844608311543,120.84286054463196
4,300,29.893044705966325,28.735380701836924,111.45053343074687
5,300,26.986277563080407,26.699100046051516,107.72431811873808
6,300,24.507273701020708,24.774378092422147,102.98698526117222
7,300,22.111231875283416,22.25290449235107,102.87420457853258
8,300,19.52754809970426,19.686121641083332,102.07069188708645
9,300,16.348052559357765,16.311657913753674,93.59858602530277
10,300,10.941066306373042,11.266423313213433,86.66656952429338
